Platform,Game Summary,Publisher,3D,Title,Series,Series Order,Rating,Genre,Subgenre,IGN Score,Release Date,Developers,Players,Country of Purchase,Input Devices,Media Type,Special Edition,Discs,Packaging,Preordered,Quantity,Estimated Value,Purchase Price,Purchase Date,Condition,Notes,Barcode,Item ID,Date Added, Collection/Wishlist
Wii,"Dead Space Extraction tells the story of a handful of space colonists desperately struggling to escape from a horrific infection on the Aegis VII mining colony deep in the furthest regions of space.
The game introduces a new heroine to the fiction and as the crew fall victim to a mysterious contagion aboard the ship, it becomes clear that protecting her may be their only hope for survival. Dead Space Extraction introduces all new characters, weapons, enemies, puzzles and co-operative multiplayer gameplay.",Electronic Arts,No,Dead Space: Extraction,,,M,"First Person Shooter, Horror",,8.5,5/21/2011,Visceral Games,2,United States,Motion Sensing Remote,DVD,No,1,Snap Case,No,1,$6.66 ,$6.66 ,8/2/2013,,,14633192087,924083,1/3/2019 15:06,Collection
3DS,,Koei Tecmo Games,No,Dead or Alive: Dimensions,,,T,"Action, Fighting",,8,5/24/2011,Team Ninja,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$0.00 ,12/29/2019,Complete In Case,GameStop - Bandera Place,40198002141,1125774,1/26/2020 20:22,Collection
DS,Returned,DSI Games,,Deal Or No Deal,,,E,Board,,,7/3/2007,Black Lantern Studios,2,United States,Handheld Console,Cartridge,Yes,1,Snap Case,No,1,$12.00 ,$12.00 ,4/27/2012,,"Game-No-Go Kit
New
GameStop
Box set includes game and styluses carrying case car charger",8.02E+11,907670,1/3/2019 20:39,Collection
DS,,DSI Games,No,Deal Or No Deal,,,E,Board,,,12/31/1969,Black Lantern Studios,2,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,,$3.33 ,1/19/2020,Used,"Complete in Case
eBay",8.02E+11,907745,1/23/2020 23:09,Collection
DS,,Zoo,No,Deal Or No Deal: Special Edition,,,E,,,,5/5/2009,,,United States,Handheld Console,Cartridge,Yes,,Snap Case,No,1,,$3.47 ,1/23/2020,Complete In Case,Lukie Games,8.02E+11,1532337,2/15/2020 23:13,Collection
DS,,Konami,,Death Jr. And The Science Fair Of Doom,,,E10+,Action,,,12/31/1969,Backbone Entertainment,,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$4.61 ,$4.61 ,4/18/2012,Complete In Case,eBay,83717241119,1530217,1/11/2019 18:52,Collection
3DS,,Konami,No,Deca Sports Extreme,,,,Sports,,,12/31/1969,Hudson,1,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$9.99 ,1/1/2020,Complete In Case,eBay,83717241850,1217544,1/26/2020 20:57,Collection
Sega Genesis,Manque notice,Sega,,Decap Attack,,,E,Platform,,,9/1/1991,Graphic Research/VIC Tokai,1,United States,Controller Game Pad,Cartridge,No,0,Thick Snap Case,No,1,,,,,,10086010275,1004380,1/3/2019 15:06,Collection
DS,,Atlus,,Deep Labyrinth,,,E,"Action, Role Playing Game",,6.5,12/31/1969,Interactive Brains,1,United States,Handheld Console,Cartridge,No,,Snap Case,No,1,$4.49 ,$4.49 ,12/1/2011,Complete In Case,???,7.31E+11,1341181,1/3/2019 20:35,Collection
DS,"Fast paced action hunting: Hunting season is open--Big Time. Lock, load and take down the best trophy bucks. But be careful or dangerous animals like grizzly and moose will be the ones to take you down. 

Used",Mastiff,No,Deer Drive,,,T,"First Person Shooter, Sports",,,12/31/1969,,2-Jan,United States,Handheld Console,Cartridge,,,Snap Case,No,1,,$15.00 ,4/5/2020,Used,"Complete in Case
eBay",8.59E+11,946620,4/11/2020 20:37,Collection
