,PC_ID,title,loose_price,cib_price,new_price,image_link
41,34471,Angry Birds Star Wars,4.88,5.88,11.77,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97NSSgfO4rp9mB-Vws2AUjR2JZc3t2TgMNOXSF_WTpddXKQcbd0eQjSTpPFVIsLk9H95SfKvmFUq8NBU9lcDu26Hj3GBkD_JOJqUd9q8Re7ZNWV0UYKDXiZTSbKDliTkFjJAG4GMum_2Um7Uxz0Bok4jaz3oA/60.jpg
42,34158,Angry Birds Trilogy,11.83,12.99,28.59,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95egFnHk1Uo1c5YlQxgcqWK5FDHvAiUGdZbnk0BFE7KQ9soVClsBuTfHv4JHA9AC5wN40ZcvBFVtdPUK1Vxdj8TpKb4lH7GB0vgKLDz9p3G2fPENjQAInr99_NC7RTRaugmZ0c9DLzevZEpk3i8vv91EVn-5w/60.jpg
43,16017,Animal Crossing City Folk,14.93,16.49,44.40,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94I8E4rgxCpPtVlbI0f9qaDDYeuxJmjrwvKtqq3soxXH8oYIfETpYTUu6ThzwPbav2kqDeTi_brYFhVmBDzhUUS0Cai23Fv38I0Yl2goWHd01FRUJXkmsArlTUAyGdt-3cla5T9p0vV9y2SZyAHcG5d8XODVw/60.jpg
44,19640,Animal Kingdom: Wildlife Expedition,5.23,6.29,8.98,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97YVfZGHWqLnsLpRZTBBGISOs41yCXZOq8spcJZI9OQHIBitoXnf4lR8y3wothBxnCHOx9y-sXwc3ZCRBaJ_XeZFYdl8oHaoHDJ0wQTEvsrMJNzdU7vSULuMWkRdeq7RGGhkRR8HdSSJIxvWjN58nbfURQw1A/60.jpg
45,21654,Animal Planet: Vet Life,5.37,6.95,20.47,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97ygQm4xn2LnO_Zol_sMK6mBRhp-XFBW6Kv0PONTGqu3BjuW1OEi052HeCr7gvyitARNjzmVJkPyCGOPSplqhcuk4phW_fZjvuKRQ_LZeeONBFTyT1Z4Jg_UIbPZPWLA-w3Yr547ceJmapWwFWaegphCeYFOQ/60.jpg
46,7268,Ant Bully,4.38,5.59,14.12,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96-MzaahOlez92nnoKYQllc3FOBlMZgaPJZ397sp-rPTlelsaHaLpuURjDAIxZE5QxjrfgSJbtWc9nyI7OkVoKwUji-Sm7_GysBlO54DajYC10JnrjZzc8r3lcd8SghuxoLyAUKGxQQNAvHChtMsuKeBd8F9g/60.jpg
47,10709,Anubis II,3.79,4.98,9.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97LHsjJRe78KYcrXr9FUzLa6Mk3A4Gj2NoIb2TO38fueptg2krDouoyJIFGcFmuCUx5WrDZkYlVj0D3VznadJSieYiwhZ7zi9XOzTpfKn6YpeRShBN6CUWGK9EXWuGFxzwoSwZe24961FMjdbQ7XgPSV8JWWQ/60.jpg
48,21629,Aqua Panic,10.60,16.63,53.11,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv974wdEV2LNJJ6LaFkyWg13V68vxAzYewEnz2O49NxgKEg4OssOpysKnTINkk7U4iDu2JubAqavXyJJ25V6gcfGHzMZZvWgnjN9_gHghFWRKne01LgCSIx8ULKELR-IobPa09ToPsYcwRYCH9Ah-79YqyR25jw/60.jpg
49,21626,Arc Rise Fantasia,59.00,67.47,111.26,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv944_iiDUm9z5YxBDWFXaWavvuDXiaHHeRg-sDOcTn-R6YOm5RBXhjEb1KETThdX1p3Oy4zsPu8r05QnGD7YFPIc0BD4QsvgdhnoBn-IYbqOS2bbIJoQNe6uI9KwdZ76W-_xN-yKlDKQBspQBZ96agSw4_L9dg/60.jpg
50,19963,Arcade Shooting Gallery,6.10,6.56,12.82,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96nUVXAsUw7-dyqgCsHHTG9Eh_Hpam3TplIgUnLZm5mAYoqDV50bVv2vvXge2zI7i6BK-FL-pUOW9BegnlM-HI3jaoWDUDoV7gV2GfV--KJVSJnb4DmjhcPSugoaiFEfP_pPFDnZ1sAJW4LmN49TF7FZM1rog/60.jpg
