,Platform,PC_ID,Merged_Title,loose_price,cib_price,new_price
135,Wii,20375.0,NOMOREHEROES2DESPERATESTRUGGLE,17.54,19.97,32.96
136,Wii,15910.0,NORTHAMERICANHUNTINGEXTRAVAGANZA,5.19,6.47,12.96
137,Wii,13146.0,OBSCURETHEAFTERMATH,11.75,12.35,29.49
138,Wii,16880.0,OCEANCOMMANDER,5.09,8.29,12.57
139,Wii,10554.0,OCTOMANIA,7.46,7.8,17.43
140,Wii,0.0,OFFROADEXTREME,,,
141,Wii,13218.0,OKAMI,7.73,8.25,15.83
142,Wii,11871.0,ONEPIECEUNLIMITEDADVENTURE,29.4,31.42,96.56
143,Wii,16280.0,ONECHANBARABIKINIZOMBIESLAYERS,18.79,20.62,53.19
144,Wii,22143.0,OOPSPRANKPARTY,9.0,10.43,21.51
145,Wii,33986.0,PANDORASTOWER,62.68,75.0,76.85
146,Wii,15691.0,PENNYRACERSPARTYTURBOQSPEEDWAY,6.56,9.49,22.03
147,Wii,19483.0,PHANTOMBRAVEWEMEETAGAIN,19.1,22.94,33.56
148,Wii,14090.0,PINBALLHALLOFFAMETHEWILLIAMSCOLLECTION,6.96,7.99,12.42
149,Wii,31499.0,PIRATESPLUNDARRR,9.57,14.88,22.53
150,Wii,0.0,PLANET51THEGAME,,,
151,Wii,6799.0,POKEMONBATTLEREVOLUTION,22.0,22.19,114.23
152,Wii,19804.0,POPNMUSIC,9.99,10.01,15.0
153,Wii,21630.0,POWERPUNCH,12.0,15.9,47.69
154,Wii,19210.0,PUNCHOUT,31.5,36.49,66.43
155,Wii,11148.0,RAMPAGETOTALDESTRUCTION,7.0,9.17,30.33
156,Wii,16453.0,READY2RUMBLEREVOLUTION,8.28,8.48,23.43
157,Wii,7432.0,REBELRAIDERSOPERATIONNIGHTHAWK,4.0,8.48,27.09
158,Wii,10792.0,REDSTEEL,7.79,8.22,17.43
159,Wii,21102.0,REDSTEEL2,8.77,10.12,24.68
160,Wii,31301.0,REMINGTONSUPERSLAMHUNTINGALASKA,7.48,11.99,21.28
161,Wii,30703.0,REMINGTONSUPERSLAMHUNTINGNORTHAMERICA,11.04,11.11,21.0
162,Wii,6800.0,RESIDENTEVIL4,10.37,10.4,31.99
163,Wii,20027.0,RESIDENTEVILTHEDARKSIDECHRONICLES,24.97,34.51,69.99
164,Wii,21104.0,ROOMSTHEMAINBUILDING,8.39,9.24,22.19
165,Wii,15864.0,RUBIKSWORLD,3.94,5.56,9.48
166,Wii,16454.0,RUNEFACTORYFRONTIER,29.98,30.11,49.0
167,Wii,0.0,SNKARCADECLASSICSV1,,,
168,Wii,21623.0,SAINT,4.97,6.18,8.49
169,Wii,21107.0,SAKURAWARSSOLONGMYLOVE,49.99,60.57,91.76
170,Wii,0.0,SAMMAXSEASON2BEYONDTIMESPACE,,,
171,Wii,14383.0,SAMMAXSEASONONE,12.99,13.0,20.34
172,Wii,15065.0,SAMBADEAMIGO,4.92,6.55,11.1
