"Platform","Game Summary","Publisher","3D","Title","Series","Series Order","Rating","Genre","Subgenre","IGN Score","Release Date","Developers","Players","Country of Purchase","Input Devices","Media Type","Special Edition","Discs","Packaging","Quantity","Estimated Value","Purchase Price","Purchase Date","Condition","Notes","Barcode","Item ID","Date Added", Collection/Wishlist
"Wii","","UFO Interactive","","Saint","","","E10+","Top Down Shooter","","6.0","2009-07-21","UFO Interactive","1-2","United States","Controller Game Pad","DVD","No","1","Snap Case","1","$2.69","$2.69","2013-03-02","","","695771900538","1096321","2019-01-03 15:06:41",Collection
"Wii","Last PS2 RPG Game.","NIS America","No","Sakura Wars: So Long My Love","","15","T","Role Playing Game, Strategy","","9.0","2010-03-30","NIS America","1","United States","Controller Game Pad","CD ROM","","1","Snap Case","1","","","","Complete In Case","","857823001499","1562856","2023-09-30 15:23:58",Collection
"DS","","Real Arcade","","Sallys Salon","","","E","Simulation","","","2008-11-04","","","United States","Handheld Console","Cartridge","No","","Snap Case","1","$0.00","$0.00","2012-04-06","Used","Complete in Case
GameStop","781735520260","1482667","2019-01-03 15:07:04",Collection
"DS","","505 Games","No","Salon Superstar","","","E","","","","1969-12-31","","","Canada","Handheld Console","Cartridge","","","Snap Case","1","","$6.95","2020-09-17","Used","Complete in Case
eBay","812872011196","1440407","2021-06-05 17:41:32",Collection
"Wii","","Atari","No","Sam & Max Season 2: Beyond Time And Space","","","T","Adventure","","8.1","2010-09-03","Telltale Games","1","United States","Motion Sensing Remote","DVD","No","1","Snap Case","1","$4.99","$4.99","","","","742725278974","1330465","2019-01-03 15:06:39",Collection
"Wii","Six Episodes","The Adventure Company","No","Sam & Max: Season One","","","T","Adventure","","7.1","2008-10-15","Telltale Games","1","United States","Motion Sensing Remote","DVD","No","1","Snap Case","1","$3.59","$3.59","2013-08-05","","","625904552921","1146234","2019-01-03 15:07:00",Collection
"DS","","Mumbo Jumbo","No","Samantha Swift and the Hidden Roses Of Athena","","","E","Strategy","","","1969-12-31","","","United States","Handheld Console","Cartridge","","","Snap Case","1","","$13.50","2020-04-26","Used","Complete in Case
eBay","811930106966","1020994","2020-05-09 21:25:12",Collection
"Wii","73","Sega","No","Samba de Amigo","","","E","Music","","7.5","2008-09-23","Gearbox Software","4","United States","Motion Sensing Remote","DVD","No","1","Snap Case","1","$0.89","$0.89","2013-06-01","","","010086650143","1334919","2019-01-03 15:06:49",Collection
"Xbox 360","Samurai Shodown Sen follows a young European girl named Suzu, rescued from a sinking ship off Japan’s coast, adopted by the Amori Clan and raised as Princess Suzu. A decade later she saves Takechiyo, a self-proclaimed master of martial arts, after his ship sinks and he ends up washed on the beach; soon after this chance meeting, the tables turn when Princess Suzu mysteriously disappears and Takechiyo pledges to find his missing rescuer.
Staying close to its roots, alongside Princess Suzu, Takechiyo and a host of new characters, a plethora of old favorites from the series have been faithfully incorporated, including Haohmaru, Galford, Hanzo Hattori, Nakoruru and Ukyo Tachibana- taking the warriors to over 20 in total. Players can become any one of these unique fighters via the Xbox LIVE online entertainment network, to battle friends to see who can reach the top of a worldwide online ranking system.","XSEED Games","","Samurai Shodown Sen","","","M","Fighting","","4.0","2010-03-30","SNK Playmore","2","United States","Controller Game Pad","DVD","No","1","Colored Snap Case","1","$8.99","$8.99","2013-06-02","","","853466001308","951928","2019-01-03 15:06:47",Collection
"Xbox 360","","Koei","","Samurai Warriors 2 Empires","","","T","Hack n’ Slash, Strategy","","5.5","2007-02-27","Koei","2","United States","Controller Game Pad","DVD","No","1","Colored Snap Case","1","$6.00","$6.00","2014-05-03","","","040198001694","989714","2019-01-03 15:07:04",Collection
